ID=#000 ask | Word=ask | Type=Cluster Reduction | Expected=æ,s,k -> Child=æ,k | Detail=/s/ deleted (-> Ø) in cluster | ExpectedPos=Final | Detected=Cluster Reduction | Positions=['Final'] | Details=['/s/ deleted (-> Ø) in cluster'] | WhatWentWrong=None | ExpectedDetail=/s/ deleted (-> Ø) in cluster | Logic=detection/detectors/deletion.py:17 (detect_cluster_reduction) | Status=Flagged Error
ID=#011 drum | Word=drum | Type=Cluster Reduction | Expected=d,r,ʌ,m -> Child=d,ʌ,m | Detail=/r/ deleted (-> Ø) in cluster | ExpectedPos=Initial | Detected=Cluster Reduction | Positions=['Initial'] | Details=['/r/ deleted (-> Ø) in cluster'] | WhatWentWrong=None | ExpectedDetail=/r/ deleted (-> Ø) in cluster | Logic=detection/detectors/deletion.py:17 (detect_cluster_reduction) | Status=Flagged Error
ID=#012 flag | Word=flag | Type=Cluster Reduction | Expected=f,l,æ,ɡ -> Child=f,æ,ɡ | Detail=/l/ deleted (-> Ø) in cluster | ExpectedPos=Initial | Detected=Cluster Reduction | Positions=['Initial'] | Details=['/l/ deleted (-> Ø) in cluster'] | WhatWentWrong=None | ExpectedDetail=/l/ deleted (-> Ø) in cluster | Logic=detection/detectors/deletion.py:17 (detect_cluster_reduction) | Status=Flagged Error
ID=#013 fox | Word=fox | Type=Cluster Reduction | Expected=f,ɑ,k,s -> Child=f,ɑ,s | Detail=/k/ deleted (-> Ø) in cluster | ExpectedPos=Final | Detected=Cluster Reduction | Positions=['Final'] | Details=['/k/ deleted (-> Ø) in cluster'] | WhatWentWrong=None | ExpectedDetail=/k/ deleted (-> Ø) in cluster | Logic=detection/detectors/deletion.py:17 (detect_cluster_reduction) | Status=Flagged Error
ID=#014 frog | Word=frog | Type=Cluster Reduction | Expected=f,r,ɑ,ɡ -> Child=f,ɑ,ɡ | Detail=/r/ deleted (-> Ø) in cluster | ExpectedPos=Initial | Detected=Cluster Reduction | Positions=['Initial'] | Details=['/r/ deleted (-> Ø) in cluster'] | WhatWentWrong=None | ExpectedDetail=/r/ deleted (-> Ø) in cluster | Logic=detection/detectors/deletion.py:17 (detect_cluster_reduction) | Status=Flagged Error
ID=#015 gift | Word=gift | Type=Cluster Reduction | Expected=ɡ,ɪ,f,t -> Child=ɡ,ɪ,t | Detail=/f/ deleted (-> Ø) in cluster | ExpectedPos=Final | Detected=Cluster Reduction | Positions=['Final'] | Details=['/f/ deleted (-> Ø) in cluster'] | WhatWentWrong=None | ExpectedDetail=/f/ deleted (-> Ø) in cluster | Logic=detection/detectors/deletion.py:17 (detect_cluster_reduction) | Status=Flagged Error
ID=#016 golf | Word=golf | Type=Cluster Reduction | Expected=ɡ,ɑ,l,f -> Child=ɡ,ɑ,f | Detail=/l/ deleted (-> Ø) in cluster | ExpectedPos=Final | Detected=Cluster Reduction | Positions=['Final'] | Details=['/l/ deleted (-> Ø) in cluster'] | WhatWentWrong=None | ExpectedDetail=/l/ deleted (-> Ø) in cluster | Logic=detection/detectors/deletion.py:17 (detect_cluster_reduction) | Status=Flagged Error
ID=#017 grass | Word=grass | Type=Cluster Reduction | Expected=ɡ,r,æ,s -> Child=ɡ,æ,s | Detail=/r/ deleted (-> Ø) in cluster | ExpectedPos=Initial | Detected=Cluster Reduction | Positions=['Initial'] | Details=['/r/ deleted (-> Ø) in cluster'] | WhatWentWrong=None | ExpectedDetail=/r/ deleted (-> Ø) in cluster | Logic=detection/detectors/deletion.py:17 (detect_cluster_reduction) | Status=Flagged Error
ID=#018 grin | Word=grin | Type=Cluster Reduction | Expected=ɡ,r,ɪ,n -> Child=ɪ,n | Detail=/ɡ,r/ deleted in cluster | ExpectedPos=Initial | Detected=Cluster Reduction | Positions=['Initial'] | Details=['/ɡ,r/ deleted in cluster'] | WhatWentWrong=None | ExpectedDetail=/ɡ,r/ deleted in cluster | Logic=detection/detectors/deletion.py:17 (detect_cluster_reduction) | Status=Flagged Error
ID=#019 hand | Word=hand | Type=Cluster Reduction | Expected=h,æ,n,d -> Child=h,æ,d | Detail=/n/ deleted (-> Ø) in cluster | ExpectedPos=Final | Detected=Cluster Reduction | Positions=['Final'] | Details=['/n/ deleted (-> Ø) in cluster'] | WhatWentWrong=None | ExpectedDetail=/n/ deleted (-> Ø) in cluster | Logic=detection/detectors/deletion.py:17 (detect_cluster_reduction) | Status=Flagged Error
ID=#020 jump | Word=jump | Type=Cluster Reduction | Expected=dʒ,ʌ,m,p -> Child=dʒ,ʌ,p | Detail=/m/ deleted (-> Ø) in cluster | ExpectedPos=Final | Detected=Cluster Reduction | Positions=['Final'] | Details=['/m/ deleted (-> Ø) in cluster'] | WhatWentWrong=None | ExpectedDetail=/m/ deleted (-> Ø) in cluster | Logic=detection/detectors/deletion.py:17 (detect_cluster_reduction) | Status=Flagged Error
ID=#021 lamp | Word=lamp | Type=Cluster Reduction | Expected=l,æ,m,p -> Child=l,æ,p | Detail=/m/ deleted (-> Ø) in cluster | ExpectedPos=Final | Detected=Cluster Reduction | Positions=['Final'] | Details=['/m/ deleted (-> Ø) in cluster'] | WhatWentWrong=None | ExpectedDetail=/m/ deleted (-> Ø) in cluster | Logic=detection/detectors/deletion.py:17 (detect_cluster_reduction) | Status=Flagged Error
ID=#022 mask | Word=mask | Type=Cluster Reduction | Expected=m,æ,s,k -> Child=m,æ,s | Detail=/k/ deleted (-> Ø) in cluster | ExpectedPos=Final | Detected=Cluster Reduction | Positions=['Final'] | Details=['/k/ deleted (-> Ø) in cluster'] | WhatWentWrong=None | ExpectedDetail=/k/ deleted (-> Ø) in cluster | Logic=detection/detectors/deletion.py:17 (detect_cluster_reduction) | Status=Flagged Error
ID=#023 milk | Word=milk | Type=Cluster Reduction | Expected=m,ɪ,l,k -> Child=m,ɪ,k | Detail=/l/ deleted (-> Ø) in cluster | ExpectedPos=Final | Detected=Cluster Reduction | Positions=['Final'] | Details=['/l/ deleted (-> Ø) in cluster'] | WhatWentWrong=None | ExpectedDetail=/l/ deleted (-> Ø) in cluster | Logic=detection/detectors/deletion.py:17 (detect_cluster_reduction) | Status=Flagged Error
ID=#024 mulch | Word=mulch | Type=Cluster Reduction | Expected=m,ʌ,l,tʃ -> Child=m,ʌ,tʃ | Detail=/l/ deleted (-> Ø) in cluster | ExpectedPos=Final | Detected=Cluster Reduction | Positions=['Final'] | Details=['/l/ deleted (-> Ø) in cluster'] | WhatWentWrong=None | ExpectedDetail=/l/ deleted (-> Ø) in cluster | Logic=detection/detectors/deletion.py:17 (detect_cluster_reduction) | Status=Flagged Error
ID=#025 nest | Word=nest | Type=Cluster Reduction | Expected=n,ɛ,s,t -> Child=n,ɛ,t | Detail=/s/ deleted (-> Ø) in cluster | ExpectedPos=Final | Detected=Cluster Reduction | Positions=['Final'] | Details=['/s/ deleted (-> Ø) in cluster'] | WhatWentWrong=None | ExpectedDetail=/s/ deleted (-> Ø) in cluster | Logic=detection/detectors/deletion.py:17 (detect_cluster_reduction) | Status=Flagged Error
ID=#026 plane | Word=plane | Type=Cluster Reduction | Expected=p,l,eɪ,n -> Child=p,eɪ,n | Detail=/l/ deleted (-> Ø) in cluster | ExpectedPos=Initial | Detected=Cluster Reduction | Positions=['Initial'] | Details=['/l/ deleted (-> Ø) in cluster'] | WhatWentWrong=None | ExpectedDetail=/l/ deleted (-> Ø) in cluster | Logic=detection/detectors/deletion.py:17 (detect_cluster_reduction) | Status=Flagged Error
ID=#027 plus | Word=plus | Type=Cluster Reduction | Expected=p,l,ʌ,s -> Child=ʌ,s | Detail=/p,l/ deleted in cluster | ExpectedPos=Initial | Detected=Cluster Reduction | Positions=['Initial'] | Details=['/p,l/ deleted in cluster'] | WhatWentWrong=None | ExpectedDetail=/p,l/ deleted in cluster | Logic=detection/detectors/deletion.py:17 (detect_cluster_reduction) | Status=Flagged Error
ID=#028 queen | Word=queen | Type=Cluster Reduction | Expected=k,w,i,n -> Child=k,i,n | Detail=/w/ deleted (-> Ø) in cluster | ExpectedPos=Initial | Detected=Cluster Reduction | Positions=['Initial'] | Details=['/w/ deleted (-> Ø) in cluster'] | WhatWentWrong=None | ExpectedDetail=/w/ deleted (-> Ø) in cluster | Logic=detection/detectors/deletion.py:17 (detect_cluster_reduction) | Status=Flagged Error
ID=#029 raft | Word=raft | Type=Cluster Reduction | Expected=r,æ,f,t -> Child=r,æ,t | Detail=/f/ deleted (-> Ø) in cluster | ExpectedPos=Final | Detected=Cluster Reduction | Positions=['Final'] | Details=['/f/ deleted (-> Ø) in cluster'] | WhatWentWrong=None | ExpectedDetail=/f/ deleted (-> Ø) in cluster | Logic=detection/detectors/deletion.py:17 (detect_cluster_reduction) | Status=Flagged Error
ID=#030 scalp | Word=scalp | Type=Cluster Reduction | Expected=s,k,æ,l,p -> Child=s,æ,l,p | Detail=/k/ deleted (-> Ø) in cluster | ExpectedPos=Initial | Detected=Cluster Reduction | Positions=['Initial'] | Details=['/k/ deleted (-> Ø) in cluster'] | WhatWentWrong=None | ExpectedDetail=/k/ deleted (-> Ø) in cluster | Logic=detection/detectors/deletion.py:17 (detect_cluster_reduction) | Status=Flagged Error
ID=#031 screen | Word=screen | Type=Cluster Reduction | Expected=s,k,r,i,n -> Child=s,k,i,n | Detail=/r/ deleted (-> Ø) in cluster | ExpectedPos=Initial | Detected=Cluster Reduction | Positions=['Initial'] | Details=['/r/ deleted (-> Ø) in cluster'] | WhatWentWrong=None | ExpectedDetail=/r/ deleted (-> Ø) in cluster | Logic=detection/detectors/deletion.py:17 (detect_cluster_reduction) | Status=Flagged Error
ID=#032 sink | Word=sink | Type=Cluster Reduction | Expected=s,ɪ,ŋ,k -> Child=s,ɪ,k | Detail=/ŋ/ deleted (-> Ø) in cluster | ExpectedPos=Final | Detected=Cluster Reduction | Positions=['Final'] | Details=['/ŋ/ deleted (-> Ø) in cluster'] | WhatWentWrong=None | ExpectedDetail=/ŋ/ deleted (-> Ø) in cluster | Logic=detection/detectors/deletion.py:17 (detect_cluster_reduction) | Status=Flagged Error
ID=#033 sleep | Word=sleep | Type=Cluster Reduction | Expected=s,l,i,p -> Child=s,i,p | Detail=/l/ deleted (-> Ø) in cluster | ExpectedPos=Initial | Detected=Cluster Reduction | Positions=['Initial'] | Details=['/l/ deleted (-> Ø) in cluster'] | WhatWentWrong=None | ExpectedDetail=/l/ deleted (-> Ø) in cluster | Logic=detection/detectors/deletion.py:17 (detect_cluster_reduction) | Status=Flagged Error
ID=#034 slip | Word=slip | Type=Cluster Reduction | Expected=s,l,ɪ,p -> Child=ɪ,p | Detail=/s,l/ deleted in cluster | ExpectedPos=Initial | Detected=Cluster Reduction | Positions=['Initial'] | Details=['/s,l/ deleted in cluster'] | WhatWentWrong=None | ExpectedDetail=/s,l/ deleted in cluster | Logic=detection/detectors/deletion.py:17 (detect_cluster_reduction) | Status=Flagged Error
ID=#035 smile | Word=smile | Type=Cluster Reduction | Expected=s,m,aɪ,l -> Child=s,aɪ,l | Detail=/m/ deleted (-> Ø) in cluster | ExpectedPos=Initial | Detected=Cluster Reduction | Positions=['Initial'] | Details=['/m/ deleted (-> Ø) in cluster'] | WhatWentWrong=None | ExpectedDetail=/m/ deleted (-> Ø) in cluster | Logic=detection/detectors/deletion.py:17 (detect_cluster_reduction) | Status=Flagged Error
ID=#036 smoke | Word=smoke | Type=Cluster Reduction | Expected=s,m,oʊ,k -> Child=s,oʊ,k | Detail=/m/ deleted (-> Ø) in cluster | ExpectedPos=Initial | Detected=Cluster Reduction | Positions=['Initial'] | Details=['/m/ deleted (-> Ø) in cluster'] | WhatWentWrong=None | ExpectedDetail=/m/ deleted (-> Ø) in cluster | Logic=detection/detectors/deletion.py:17 (detect_cluster_reduction) | Status=Flagged Error
ID=#037 splash | Word=splash | Type=Cluster Reduction | Expected=s,p,l,æ,ʃ -> Child=s,l,æ,ʃ | Detail=/p/ deleted (-> Ø) in cluster | ExpectedPos=Initial | Detected=Cluster Reduction | Positions=['Initial'] | Details=['/p/ deleted (-> Ø) in cluster'] | WhatWentWrong=None | ExpectedDetail=/p/ deleted (-> Ø) in cluster | Logic=detection/detectors/deletion.py:17 (detect_cluster_reduction) | Status=Flagged Error
ID=#038 spoon | Word=spoon | Type=Cluster Reduction | Expected=s,p,u,n -> Child=p,u,n | Detail=/s/ deleted (-> Ø) in cluster | ExpectedPos=Initial | Detected=Cluster Reduction | Positions=['Initial'] | Details=['/s/ deleted (-> Ø) in cluster'] | WhatWentWrong=None | ExpectedDetail=/s/ deleted (-> Ø) in cluster | Logic=detection/detectors/deletion.py:17 (detect_cluster_reduction) | Status=Flagged Error
ID=#039 spring | Word=spring | Type=Cluster Reduction | Expected=s,p,r,ɪ,ŋ -> Child=s,r,ɪ,ŋ | Detail=/p/ deleted (-> Ø) in cluster | ExpectedPos=Initial | Detected=Cluster Reduction | Positions=['Initial'] | Details=['/p/ deleted (-> Ø) in cluster'] | WhatWentWrong=None | ExpectedDetail=/p/ deleted (-> Ø) in cluster | Logic=detection/detectors/deletion.py:17 (detect_cluster_reduction) | Status=Flagged Error
ID=#040 stop | Word=stop | Type=Cluster Reduction | Expected=s,t,ɑ,p -> Child=ɑ,p | Detail=/s,t/ deleted in cluster | ExpectedPos=Initial | Detected=Cluster Reduction | Positions=['Initial'] | Details=['/s,t/ deleted in cluster'] | WhatWentWrong=None | ExpectedDetail=/s,t/ deleted in cluster | Logic=detection/detectors/deletion.py:17 (detect_cluster_reduction) | Status=Flagged Error
ID=#041 street | Word=street | Type=Cluster Reduction | Expected=s,t,r,i,t -> Child=s,t,i,t | Detail=/r/ deleted (-> Ø) in cluster | ExpectedPos=Initial | Detected=Cluster Reduction | Positions=['Initial'] | Details=['/r/ deleted (-> Ø) in cluster'] | WhatWentWrong=None | ExpectedDetail=/r/ deleted (-> Ø) in cluster | Logic=detection/detectors/deletion.py:17 (detect_cluster_reduction) | Status=Flagged Error
ID=#042 strong | Word=strong | Type=Cluster Reduction | Expected=s,t,r,ɔ,ŋ -> Child=s,r,ɔ,ŋ | Detail=/t/ deleted (-> Ø) in cluster | ExpectedPos=Initial | Detected=Cluster Reduction | Positions=['Initial'] | Details=['/t/ deleted (-> Ø) in cluster'] | WhatWentWrong=None | ExpectedDetail=/t/ deleted (-> Ø) in cluster | Logic=detection/detectors/deletion.py:17 (detect_cluster_reduction) | Status=Flagged Error
ID=#043 swing | Word=swing | Type=Cluster Reduction | Expected=s,w,ɪ,ŋ -> Child=s,ɪ,ŋ | Detail=/w/ deleted (-> Ø) in cluster | ExpectedPos=Initial | Detected=Cluster Reduction | Positions=['Initial'] | Details=['/w/ deleted (-> Ø) in cluster'] | WhatWentWrong=None | ExpectedDetail=/w/ deleted (-> Ø) in cluster | Logic=detection/detectors/deletion.py:17 (detect_cluster_reduction) | Status=Flagged Error
ID=#044 tent | Word=tent | Type=Cluster Reduction | Expected=t,ɛ,n,t -> Child=t,ɛ,t | Detail=/n/ deleted (-> Ø) in cluster | ExpectedPos=Final | Detected=Cluster Reduction | Positions=['Final'] | Details=['/n/ deleted (-> Ø) in cluster'] | WhatWentWrong=None | ExpectedDetail=/n/ deleted (-> Ø) in cluster | Logic=detection/detectors/deletion.py:17 (detect_cluster_reduction) | Status=Flagged Error
ID=#045 three | Word=three | Type=Cluster Reduction | Expected=θ,r,i -> Child=θ,i | Detail=/r/ deleted (-> Ø) in cluster | ExpectedPos=Initial | Detected=Cluster Reduction | Positions=['Initial'] | Details=['/r/ deleted (-> Ø) in cluster'] | WhatWentWrong=None | ExpectedDetail=/r/ deleted (-> Ø) in cluster | Logic=detection/detectors/deletion.py:17 (detect_cluster_reduction) | Status=Flagged Error
ID=#046 train | Word=train | Type=Cluster Reduction | Expected=t,r,eɪ,n -> Child=r,eɪ,n | Detail=/t/ deleted (-> Ø) in cluster | ExpectedPos=Initial | Detected=Cluster Reduction | Positions=['Initial'] | Details=['/t/ deleted (-> Ø) in cluster'] | WhatWentWrong=None | ExpectedDetail=/t/ deleted (-> Ø) in cluster | Logic=detection/detectors/deletion.py:17 (detect_cluster_reduction) | Status=Flagged Error
ID=#047 truck | Word=truck | Type=Cluster Reduction | Expected=t,r,ʌ,k -> Child=t,ʌ,k | Detail=/r/ deleted (-> Ø) in cluster | ExpectedPos=Initial | Detected=Cluster Reduction | Positions=['Initial'] | Details=['/r/ deleted (-> Ø) in cluster'] | WhatWentWrong=None | ExpectedDetail=/r/ deleted (-> Ø) in cluster | Logic=detection/detectors/deletion.py:17 (detect_cluster_reduction) | Status=Flagged Error
ID=#048 twist | Word=twist | Type=Cluster Reduction | Expected=t,w,ɪ,s,t -> Child=t,ɪ,s,t | Detail=/w/ deleted (-> Ø) in cluster | ExpectedPos=Initial | Detected=Cluster Reduction | Positions=['Initial'] | Details=['/w/ deleted (-> Ø) in cluster'] | WhatWentWrong=None | ExpectedDetail=/w/ deleted (-> Ø) in cluster | Logic=detection/detectors/deletion.py:17 (detect_cluster_reduction) | Status=Flagged Error
ID=#049 wind | Word=wind | Type=Cluster Reduction | Expected=w,ɪ,n,d -> Child=w,ɪ,n | Detail=/d/ deleted (-> Ø) in cluster | ExpectedPos=Final | Detected=Cluster Reduction | Positions=['Final'] | Details=['/d/ deleted (-> Ø) in cluster'] | WhatWentWrong=None | ExpectedDetail=/d/ deleted (-> Ø) in cluster | Logic=detection/detectors/deletion.py:17 (detect_cluster_reduction) | Status=Flagged Error
ID=#050 ball | Word=ball | Type=Final Consonant Deletion | Expected=b,ɔ,l -> Child=b,ɔ | Detail=/l/ deleted (-> Ø) word-finally | ExpectedPos=Final | Detected=Final Consonant Deletion | Positions=['Final'] | Details=['/l/ deleted (-> Ø) word-finally'] | WhatWentWrong=None | ExpectedDetail=/l/ deleted (-> Ø) word-finally | Logic=detection/detectors/deletion.py:38 (detect_final_consonant_deletion) | Status=Flagged Error
ID=#051 bathe | Word=bathe | Type=Final Consonant Deletion | Expected=b,eɪ,ð -> Child=b,eɪ | Detail=/ð/ deleted (-> Ø) word-finally | ExpectedPos=Final | Detected=Final Consonant Deletion | Positions=['Final'] | Details=['/ð/ deleted (-> Ø) word-finally'] | WhatWentWrong=None | ExpectedDetail=/ð/ deleted (-> Ø) word-finally | Logic=detection/detectors/deletion.py:38 (detect_final_consonant_deletion) | Status=Flagged Error
ID=#052 bed | Word=bed | Type=Final Consonant Deletion | Expected=b,ɛ,d -> Child=b,ɛ | Detail=/d/ deleted (-> Ø) word-finally | ExpectedPos=Final | Detected=Final Consonant Deletion | Positions=['Final'] | Details=['/d/ deleted (-> Ø) word-finally'] | WhatWentWrong=None | ExpectedDetail=/d/ deleted (-> Ø) word-finally | Logic=detection/detectors/deletion.py:38 (detect_final_consonant_deletion) | Status=Flagged Error
ID=#053 book | Word=book | Type=Final Consonant Deletion | Expected=b,ʊ,k -> Child=b,ʊ | Detail=/k/ deleted (-> Ø) word-finally | ExpectedPos=Final | Detected=Final Consonant Deletion | Positions=['Final'] | Details=['/k/ deleted (-> Ø) word-finally'] | WhatWentWrong=None | ExpectedDetail=/k/ deleted (-> Ø) word-finally | Logic=detection/detectors/deletion.py:38 (detect_final_consonant_deletion) | Status=Flagged Error
ID=#054 boot | Word=boot | Type=Final Consonant Deletion | Expected=b,u,t -> Child=b,u | Detail=/t/ deleted (-> Ø) word-finally | ExpectedPos=Final | Detected=Final Consonant Deletion | Positions=['Final'] | Details=['/t/ deleted (-> Ø) word-finally'] | WhatWentWrong=None | ExpectedDetail=/t/ deleted (-> Ø) word-finally | Logic=detection/detectors/deletion.py:38 (detect_final_consonant_deletion) | Status=Flagged Error
ID=#055 brush | Word=brush | Type=Final Consonant Deletion | Expected=b,r,ʌ,ʃ -> Child=b,r,ʌ | Detail=/ʃ/ deleted (-> Ø) word-finally | ExpectedPos=Final | Detected=Final Consonant Deletion | Positions=['Final'] | Details=['/ʃ/ deleted (-> Ø) word-finally'] | WhatWentWrong=None | ExpectedDetail=/ʃ/ deleted (-> Ø) word-finally | Logic=detection/detectors/deletion.py:38 (detect_final_consonant_deletion) | Status=Flagged Error
ID=#056 bus | Word=bus | Type=Final Consonant Deletion | Expected=b,ʌ,s -> Child=b,ʌ | Detail=/s/ deleted (-> Ø) word-finally | ExpectedPos=Final | Detected=Final Consonant Deletion | Positions=['Final'] | Details=['/s/ deleted (-> Ø) word-finally'] | WhatWentWrong=None | ExpectedDetail=/s/ deleted (-> Ø) word-finally | Logic=detection/detectors/deletion.py:38 (detect_final_consonant_deletion) | Status=Flagged Error
ID=#057 cat | Word=cat | Type=Final Consonant Deletion | Expected=k,æ,t -> Child=k,æ | Detail=/t/ deleted (-> Ø) word-finally | ExpectedPos=Final | Detected=Final Consonant Deletion | Positions=['Final'] | Details=['/t/ deleted (-> Ø) word-finally'] | WhatWentWrong=None | ExpectedDetail=/t/ deleted (-> Ø) word-finally | Logic=detection/detectors/deletion.py:38 (detect_final_consonant_deletion) | Status=Flagged Error
ID=#058 catch | Word=catch | Type=Final Consonant Deletion | Expected=k,æ,tʃ -> Child=k,æ | Detail=/tʃ/ deleted (-> Ø) word-finally | ExpectedPos=Final | Detected=Final Consonant Deletion | Positions=['Final'] | Details=['/tʃ/ deleted (-> Ø) word-finally'] | WhatWentWrong=None | ExpectedDetail=/tʃ/ deleted (-> Ø) word-finally | Logic=detection/detectors/deletion.py:38 (detect_final_consonant_deletion) | Status=Flagged Error
ID=#059 cave | Word=cave | Type=Final Consonant Deletion | Expected=k,eɪ,v -> Child=k,eɪ | Detail=/v/ deleted (-> Ø) word-finally | ExpectedPos=Final | Detected=Final Consonant Deletion | Positions=['Final'] | Details=['/v/ deleted (-> Ø) word-finally'] | WhatWentWrong=None | ExpectedDetail=/v/ deleted (-> Ø) word-finally | Logic=detection/detectors/deletion.py:38 (detect_final_consonant_deletion) | Status=Flagged Error
ID=#060 cheese | Word=cheese | Type=Final Consonant Deletion | Expected=tʃ,i,z -> Child=tʃ,i | Detail=/z/ deleted (-> Ø) word-finally | ExpectedPos=Final | Detected=Final Consonant Deletion | Positions=['Final'] | Details=['/z/ deleted (-> Ø) word-finally'] | WhatWentWrong=None | ExpectedDetail=/z/ deleted (-> Ø) word-finally | Logic=detection/detectors/deletion.py:38 (detect_final_consonant_deletion) | Status=Flagged Error
ID=#061 cove | Word=cove | Type=Final Consonant Deletion | Expected=k,oʊ,v -> Child=k,oʊ | Detail=/v/ deleted (-> Ø) word-finally | ExpectedPos=Final | Detected=Final Consonant Deletion | Positions=['Final'] | Details=['/v/ deleted (-> Ø) word-finally'] | WhatWentWrong=None | ExpectedDetail=/v/ deleted (-> Ø) word-finally | Logic=detection/detectors/deletion.py:38 (detect_final_consonant_deletion) | Status=Flagged Error
